Name	latitude	longitude	DateTime	Chlorophyll-a_Jeff_Humphr	Phaeophytin_Jeff_Humphr	Chlorophyll_ges	SD	TUR
GN003	54.00183333	8.111166667	2017-08-12T14:57:00	5.939	1.244	6.56	4.5	1.449
GN008	54.00016667	4.830666667	2017-08-13T05:03:00	1.319	0.274	1.456	3.5	0.185
GN009	54	2.9995	2017-08-13T13:12:00	0.415	0.093	0.461		0.036
GN011	52.51133333	4.3255	2017-08-14T05:10:00	7.216	1.444	7.938	12	0.061
GN012	51.9985	3.73	2017-08-14T10:21:00	2.642	0.554	2.919	6	0.078
GN013	51.6995	2.857666667	2017-08-14T14:03:00	1.715	0.36	1.895	5.5	0.121
GN014	52.00633333	2.007833333	2017-08-14T18:51:00	1.933	0.4	2.133	3	0.44
GN016	53.3305	1.6715	2017-08-15T05:23:00	0.666	0.14	0.736	11	0.05
GN017	54.00066667	0.996333333	2017-08-15T14:10:00	1.677	0.351	1.852	10.5	0.04
GN018	55.0045	-0.007333333	2017-08-16T03:44:00	0.937	0.199	1.037		0.026
GN019	55.00033333	2.000833333	2017-08-16T11:19:00	0.484	0.1	0.534	14.5	0.018
GN020	55.00033333	4.001333333	2017-08-16T19:40:00	0.48	0.102	0.532		0.029
GN022	54.99866667	6.251	2017-08-17T04:05:00	1.126	0.238	1.245		0.032
GN024	55	7.999333333	2017-08-17T11:38:00	2.79	0.589	3.085	6	0.062
GN026	56.00083333	7.7995	2017-08-17T21:11:00	1.851	0.396	2.049		0.051
GN028	55.99716667	5.005166667	2017-08-18T08:18:00	0.582	0.126	0.645	11	0.034
GN029	56.0005	3.005166667	2017-08-18T17:12:00	0.348	0.075	0.386	13	0.007
GN032	55.99966667	0.002	2017-08-19T10:56:00	1.23	0.251	1.356		0.018
GN033	55.999	-0.996	2017-08-19T15:34:00	1.165	0.246	1.288	10	0.036
GN034	56.9995	-1.003833333	2017-08-20T04:12:00	1.436	0.301	1.587		0.032
GN035	56.999	1.33	2017-08-20T13:03:00	0.54	0.114	0.597	13.9	0.01
GN036	56.99983333	3.5	2017-08-20T21:16:00	0.712	0.151	0.787		0.033
GN038	57.00016667	6.003333333	2017-08-21T06:43:00	0.481	0.102	0.532	14.5	0.027
GN039	57	8.000166667	2017-08-21T14:08:00	1.446	0.304	1.598	7.5	0.053
GN040	57.82966667	7.9975	2017-08-23T12:34:00	0.687	0.15	0.762	11.5	0.018
GN041	58.0005	5.993333333	2017-08-23T21:45:00	1.389	0.293	1.535		0.02
GN043	58.00133333	3.002333333	2017-08-24T09:03:00	0.34	0.072	0.377	12.5	0.009
GN044	58.0005	1.5005	2017-08-24T14:14:00	0.488	0.103	0.54	14.5	0.008
GN056	58.74883333	-5.0015	2017-08-25T19:48:00	1.314	0.278	1.453		0.017
GN065	59.99716667	-5.997333333	2017-08-26T16:34:00	0.533	0.117	0.592		0.012
GN054	59.999	-3.001166667	2017-08-27T05:59:00	2.649	0.564	2.931	8	0.015
GN053	59.998	-0.503166667	2017-08-27T15:43:00	0.898	0.191	0.993	10	0.011
GN051	60.00183333	4.500833333	2017-08-28T09:08:00	0.609	0.133	0.675	10	0.015
GN050	59	4.500833333	2017-08-28T19:41:00	1.073	0.23	1.188		0.018
GN048	59.00016667	1.001166667	2017-08-29T10:37:00	0.331	0.071	0.366	16.5	0.007
GN047	59.0005	0.003166667	2017-08-29T15:19:00	0.366	0.08	0.406	16.5	0.007
